symbol,date,open,high,low,close,volume
$NDFD,2025-08-05,53.46,53.46,32.67,32.67,0.0
$NDFD,2025-08-06,42.57,52.47,38.61,52.47,0.0
$NDFD,2025-08-07,72.27,72.27,42.57,47.52,0.0
$NDFD,2025-08-08,47.52,52.47,47.52,50.49,0.0
$NDFD,2025-08-11,61.38,61.38,39.6,43.56,0.0
$NDFD,2025-08-12,54.45,68.31,50.49,63.36,0.0
$NDFD,2025-08-13,73.26,74.25,69.3,73.26,0.0
$NDFD,2025-08-14,67.32,73.26,57.42,59.4,0.0
$NDFD,2025-08-15,61.38,63.36,53.46,55.44,0.0
$NDFD,2025-08-18,49.5,58.41,49.5,53.46,0.0
$NDFD,2025-08-19,52.47,58.41,36.63,44.55,0.0
$NDFD,2025-08-20,45.54,48.51,41.58,41.58,0.0
$NDFD,2025-08-21,26.73,36.63,26.73,34.65,0.0
$NDFD,2025-08-22,76.23,82.17,71.28,72.27,0.0
$NDFD,2025-08-25,72.27,72.27,56.43,56.43,0.0
$NDFD,2025-08-26,58.41,58.41,49.5,51.48,0.0
$NDFD,2025-08-27,50.49,61.38,50.49,58.41,0.0
$NDFD,2025-08-28,53.46,59.4,49.5,55.44,0.0
$NDFD,2025-08-29,54.45,54.45,38.61,41.58,0.0
$NDFD,2025-09-02,16.83,23.76,12.87,23.76,0.0
$NDFD,2025-09-03,18.81,26.73,18.81,26.73,0.0
$NDFD,2025-09-04,28.71,49.5,28.71,49.5,0.0
$NDFD,2025-09-05,74.25,74.25,42.57,60.39,0.0
$NDFD,2025-09-08,49.5,63.36,49.5,63.36,0.0
$NDFD,2025-09-09,53.46,56.43,46.53,51.48,0.0
$NDFD,2025-09-10,49.5,49.5,33.66,40.59,0.0
$NDFD,2025-09-11,51.48,68.31,51.48,62.37,0.0
$NDFD,2025-09-12,56.43,56.43,41.58,42.57,0.0
$NDFD,2025-09-15,43.56,54.45,43.56,45.54,0.0
$NDFD,2025-09-16,57.42,57.42,45.54,51.48,0.0
$NDFD,2025-09-17,66.33,69.3,49.5,55.44,0.0
$NDFD,2025-09-18,62.37,72.27,59.4,61.38,0.0
$NDFD,2025-09-19,65.34,69.3,57.42,65.34,0.0
$NDFD,2025-09-22,52.47,66.33,52.47,60.39,0.0
$NDFD,2025-09-23,56.43,61.38,50.49,53.46,0.0
$NDFD,2025-09-24,53.46,53.46,41.58,43.56,0.0
$NDFD,2025-09-25,32.67,34.65,22.77,31.68,0.0
$NDFD,2025-09-26,41.58,45.54,31.68,42.57,0.0
$NDFD,2025-09-29,65.34,65.34,55.44,57.42,0.0
$NDFD,2025-09-30,61.38,61.38,50.49,60.39,0.0
$NDFD,2025-10-01,67.32,67.32,48.51,56.43,0.0
$NDFD,2025-10-02,51.48,56.43,46.53,56.43,0.0
$NDFD,2025-10-03,61.38,73.26,58.41,58.41,0.0
$NDFD,2025-10-06,56.43,62.37,53.46,61.38,0.0
$NDFD,2025-10-07,57.42,57.42,31.68,36.63,0.0
$NDFD,2025-10-08,40.59,53.46,40.59,52.47,0.0
$NDFD,2025-10-09,52.47,52.47,37.62,39.6,0.0
$NDFD,2025-10-10,39.6,50.49,10.89,11.88,0.0
$NDFD,2025-10-13,21.78,40.59,20.79,35.64,0.0
$NDFD,2025-10-14,37.62,60.39,36.63,48.51,0.0
$NDFD,2025-10-15,68.31,76.23,49.5,62.37,0.0
$NDFD,2025-10-16,73.26,73.26,43.56,50.49,0.0
$NDFD,2025-10-17,43.56,63.36,41.58,56.43,0.0
$NDFD,2025-10-20,82.17,86.13,78.21,86.13,0.0
$NDFD,2025-10-21,83.16,84.15,76.23,77.22,0.0
$NDFD,2025-10-22,73.26,74.25,54.45,54.45,0.0
$NDFD,2025-10-23,54.45,64.35,51.48,60.39,0.0
$NDFD,2025-10-24,63.36,65.34,58.41,58.41,0.0
$NDFD,2025-10-27,64.35,71.28,60.39,71.28,0.0
$NDFD,2025-10-28,59.4,67.32,46.53,49.5,0.0
$NDFD,2025-10-29,42.57,44.55,32.67,32.67,0.0
$NDFD,2025-10-30,33.66,39.6,25.74,25.74,0.0
$NDFD,2025-10-31,39.6,45.54,30.69,36.27,0.0
$NDFD,2025-11-03,34.31,44.11,26.47,44.11,0.0
$NDFD,2025-11-04,27.45,36.27,17.64,22.54,0.0
$NDFD,2025-11-05,32.35,46.07,30.39,46.07,0.0
$NDFD,2025-11-06,39.21,39.21,19.6,20.58,0.0
$NDFD,2025-11-07,27.45,33.33,19.6,33.33,0.0
$NDFD,2025-11-10,50.98,58.82,39.21,57.84,0.0
$NDFD,2025-11-11,52.94,67.64,52.94,59.8,0.0
$NDFD,2025-11-12,74.5,74.5,59.8,63.72,0.0
$NDFD,2025-11-13,49.01,58.82,39.21,39.21,0.0
$NDFD,2025-11-14,27.45,41.17,19.6,32.35,0.0
$NDFD,2025-11-17,34.31,34.31,17.64,20.58,0.0
$NDFD,2025-11-18,23.52,30.39,20.58,25.49,0.0
$NDFD,2025-11-19,29.41,47.05,26.47,32.35,0.0
$NDFD,2025-11-20,57.84,57.84,17.64,18.62,0.0
$NDFD,2025-11-21,42.15,61.76,41.17,52.94,0.0
$NDFD,2025-11-24,60.78,68.62,56.86,63.72,0.0
$NDFD,2025-11-25,63.36,83.16,63.36,79.2,0.0
$NDFD,2025-11-26,87.12,93.06,85.14,90.09,0.0
$NDFD,2025-11-28,86.13,93.06,84.15,92.07,0.0
$NDFD,2025-12-01,69.3,79.2,61.38,61.38,0.0
$NDFD,2025-12-02,54.45,71.28,54.45,69.3,0.0
$NDFD,2025-12-03,69.3,74.25,65.34,68.31,0.0
$NDFD,2025-12-04,58.41,61.38,53.46,55.44,0.0
$NDFD,2025-12-05,66.33,76.23,61.38,63.36,0.0
$NDFD,2025-12-08,54.45,54.45,48.51,51.48,0.0
$NDFD,2025-12-09,39.6,43.56,35.64,35.64,0.0
$NDFD,2025-12-10,37.62,62.37,37.62,60.39,0.0
$NDFD,2025-12-11,58.41,60.39,52.47,58.41,0.0
$NDFD,2025-12-12,59.4,60.39,42.57,44.55,0.0
$NDFD,2025-12-15,49.5,49.5,40.59,42.57,0.0
$NDFD,2025-12-16,37.62,39.6,27.72,36.63,0.0
$NDFD,2025-12-17,42.57,43.56,26.73,26.73,0.0
$NDFD,2025-12-18,54.45,59.4,40.59,44.55,0.0
$NDFD,2025-12-19,74.25,76.23,61.38,61.38,0.0
$NDFD,2025-12-22,77.22,78.21,71.28,73.26,0.0
$NDFD,2025-12-23,66.33,66.33,60.39,65.34,0.0
$NDFD,2025-12-24,58.41,70.29,58.41,70.29,0.0
$NDFD,2025-12-26,69.3,76.23,53.46,76.23,0.0
$NDFD,2025-12-29,70.29,70.29,34.65,47.52,0.0
$NDFD,2025-12-30,38.61,47.52,34.65,34.65,0.0
$NDFD,2025-12-31,23.76,25.74,11.88,11.88,0.0
$NDFD,2026-01-02,25.74,34.65,25.74,34.65,0.0
$NDFD,2026-01-05,47.52,53.46,45.54,48.03,0.0
$NDFD,2026-01-06,50.98,62.74,50.98,60.78,0.0
$NDFD,2026-01-07,66.66,72.54,66.66,70.58,0.0
$NDFD,2026-01-08,60.78,64.7,55.88,57.84,0.0
$NDFD,2026-01-09,60.78,67.64,54.9,62.74,0.0
$NDFD,2026-01-12,49.01,51.96,44.11,47.05,0.0
$NDFD,2026-01-13,50.0,55.88,45.09,54.9,0.0
$NDFD,2026-01-14,50.98,52.94,38.23,50.0,0.0
$NDFD,2026-01-15,50.98,56.86,40.19,40.19,0.0
$NDFD,2026-01-16,40.19,48.03,37.25,44.11,0.0
$NDFD,2026-01-20,25.49,37.25,25.49,29.41,0.0
$NDFD,2026-01-21,40.19,54.9,36.27,46.07,0.0
$NDFD,2026-01-22,60.78,67.64,58.82,61.76,0.0
$NDFD,2026-01-23,64.7,68.62,57.84,61.76,0.0
$NDFD,2026-01-26,77.45,77.45,69.3,72.27,0.0
$NDFD,2026-01-27,56.43,61.38,52.47,56.43,0.0
$NDFD,2026-01-28,63.36,63.36,49.5,50.49,0.0
$NDFD,2026-01-29,39.6,42.57,31.68,42.57,0.0
$NDFD,2026-01-30,27.72,32.67,20.79,30.69,0.0
$NDFD,2026-02-02,34.65,47.52,34.65,44.55,0.0
$NDFD,2026-02-03,41.58,42.57,36.63,39.6,0.0
$NDFD,2026-02-04,40.59,41.58,34.65,37.62,0.0
$NDFD,2026-02-05,44.55,44.55,32.67,35.64,0.0
$NDFD,2026-02-06,48.51,59.4,48.51,56.43,0.0
$NDFD,2026-02-09,50.49,64.35,47.52,64.35,0.0
$NDFD,2026-02-10,59.4,63.36,56.43,57.42,0.0
$NDFD,2026-02-11,58.41,65.34,50.49,63.36,0.0
$NDFD,2026-02-12,53.46,54.45,32.67,33.66,0.0
$NDFD,2026-02-13,44.55,55.44,44.55,48.51,0.0
$NDFD,2026-02-17,45.54,45.54,31.68,40.59,0.0
$NDFD,2026-02-18,61.38,66.33,50.49,57.42,0.0
$NDFD,2026-02-19,53.46,55.44,44.55,55.44,0.0
$NDFD,2026-02-20,64.35,65.34,53.46,63.36,0.0
$NDFD,2026-02-23,55.44,55.44,36.63,41.58,0.0
$NDFD,2026-02-24,44.55,61.38,44.55,59.4,0.0
$NDFD,2026-02-25,66.33,75.24,62.37,75.24,0.0
$NDFD,2026-02-26,53.46,58.41,48.51,58.41,0.0
$NDFD,2026-02-27,54.45,66.33,54.45,65.34,0.0
$NDFD,2026-03-02,42.57,52.47,42.57,46.53,0.0
$NDFD,2026-03-03,20.79,44.55,20.79,37.62,0.0
$NDFD,2026-03-04,50.49,62.37,50.49,59.4,0.0
$NDFD,2026-03-05,43.56,50.49,39.6,46.53,0.0
$NDFD,2026-03-06,35.64,41.58,31.68,40.59,0.0
$NDFD,2026-03-09,20.79,50.49,20.79,49.5,0.0
$NDFD,2026-03-10,37.62,45.54,29.7,29.7,0.0
$NDFD,2026-03-11,35.64,35.64,28.71,33.66,0.0
$NDFD,2026-03-12,17.82,27.72,14.85,16.83,0.0
$NDFD,2026-03-13,25.74,25.74,14.85,15.84,0.0
$NDFD,2026-03-16,53.46,53.46,39.6,46.53,0.0
$NDFD,2026-03-17,83.16,83.16,67.32,69.3,0.0
$NDFD,2026-03-18,64.35,64.35,32.67,32.67,0.0
$NDFD,2026-03-19,28.71,42.57,23.76,34.65,0.0
$NDFD,2026-03-20,20.79,24.75,9.9,14.85,0.0
$NDFD,2026-03-23,52.47,62.37,40.59,46.53,0.0
$NDFD,2026-03-24,37.62,42.57,35.64,36.63,0.0
$NDFD,2026-03-25,61.38,64.35,50.49,56.43,0.0
$NDFD,2026-03-26,65.34,66.33,42.57,45.54,0.0
$NDFD,2026-03-27,24.75,29.7,20.79,22.77,0.0
$NDFD,2026-03-30,31.68,42.57,29.7,32.67,0.0
$NDFD,2026-03-31,43.56,78.21,43.56,75.24,0.0
$NDFD,2026-04-01,43.56,78.21,43.56,77.22,0.0
$NDFD,2026-04-02,62.37,84.15,62.37,79.2,0.0
$NDFD,2026-04-06,74.25,81.18,71.28,75.24,0.0
$NDFD,2026-04-07,44.55,52.47,35.64,52.47,0.0
$NDFD,2026-04-08,77.22,83.16,74.25,77.22,0.0
$NDFD,2026-04-09,68.31,72.27,62.37,66.33,0.0
$NDFD,2026-04-10,64.35,64.35,51.48,52.47,0.0
$NDFD,2026-04-13,52.47,65.34,45.54,65.34,0.0
$NDFD,2026-04-14,68.31,68.31,62.37,64.35,0.0
$NDFD,2026-04-15,64.35,65.34,59.4,61.38,0.0
$NDFD,2026-04-16,74.25,78.21,67.32,70.29,0.0
$NDFD,2026-04-17,82.17,89.1,82.17,89.1,0.0
$NDFD,2026-04-20,82.17,85.14,74.25,77.22,0.0
$NDFD,2026-04-21,65.34,71.28,51.48,56.43,0.0
$NDFD,2026-04-22,69.3,70.29,52.47,61.38,0.0
$NDFD,2026-04-23,49.5,52.47,42.57,47.52,0.0
$NDFD,2026-04-24,41.58,46.53,38.61,44.55,0.0
$NDFD,2026-04-27,52.47,54.45,39.6,42.57,0.0
$NDFD,2026-04-28,35.64,36.63,29.7,33.66,0.0
$NDFD,2026-04-29,27.72,41.58,27.72,41.58,0.0
$NDFD,2026-04-30,48.51,61.38,48.51,60.39,0.0
$NDFD,2026-05-01,79.2,81.18,72.27,73.26,0.0
$NDFD,2026-05-04,68.31,68.31,54.45,59.4,0.0
$NDFD,2026-05-05,50.49,64.35,50.49,58.41,0.0
$NDFD,2026-05-06,59.4,67.32,59.4,61.38,0.0
$NDFD,2026-05-07,70.29,70.29,56.43,58.41,0.0
$NDFD,2026-05-08,54.45,56.43,49.5,51.48,0.0
$NDFD,2026-05-11,38.61,44.55,37.62,41.58,0.0
$NDFD,2026-05-12,38.61,42.57,32.67,42.57,0.0
$NDFD,2026-05-13,34.65,46.53,34.65,44.55,0.0
$NDFD,2026-05-14,48.51,55.44,43.56,45.54,0.0
$NDFD,2026-05-15,41.58,43.56,34.65,35.64,0.0
$NDFD,2026-05-18,43.56,54.45,43.56,50.49,0.0
$NDFD,2026-05-19,50.49,59.4,50.49,51.48,0.0
$NDFD,2026-05-20,45.54,75.24,45.54,70.29,0.0
$NDFD,2026-05-21,56.43,72.27,56.43,66.33,0.0
$NDFD,2026-05-22,77.22,77.22,66.33,68.31,0.0
$NDFD,2026-05-26,62.37,69.3,61.38,63.36,0.0
$NDFD,2026-05-27,62.37,65.34,54.45,55.44,0.0
$NDFD,2026-05-28,59.4,64.35,57.42,59.4,0.0
$NDFD,2026-05-29,53.46,59.4,50.49,50.49,0.0
$NDFD,2026-06-01,44.55,52.47,42.57,49.5,0.0
$NDFD,2026-06-02,48.51,56.43,44.55,56.43,0.0
$NDFD,2026-06-03,48.51,50.49,44.55,46.53,0.0
$NDFD,2026-06-04,53.46,56.43,51.48,52.47,0.0
$NDFD,2026-06-05,42.57,42.57,31.68,31.68,0.0
$NDFD,2026-06-08,36.63,42.57,26.73,26.73,0.0
$NDFD,2026-06-09,48.51,48.51,31.68,34.65,0.0
$NDFD,2026-06-10,36.63,39.6,24.75,28.71,0.0
$NDFD,2026-06-11,31.68,66.33,31.68,60.39,0.0
$NDFD,2026-06-12,54.45,69.3,52.47,63.36,0.0
$NDFD,2026-06-15,80.19,83.16,77.22,77.22,0.0
